?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/AISM_0000014>	"The articulation between the mandible and the cranium."@en	
<http://purl.obolibrary.org/obo/COLAO_0000128>	"The anterior branch of the cubital vein that is composed of the first and second cubital anterior branches of the beetle wing."@en	
<http://purl.obolibrary.org/obo/AISM_0004243>	"The region of cuticle of the insect wing that is less flexible than the wing conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0004091>	"Is the abdominal tergite of the preabdomen that is attached to the posterior margin of the abdominal tergite IV by the abdominal tergite IV-abdominal tergite V conjunctiva and to the anterior margin of the abdominal tergite VI by the abdominal tergite V-abdominal tergite VI conjunctiva."@en	
<http://purl.obolibrary.org/obo/COLAO_0000218>	"The elytral stria that is lateral to the elytral interstria 9."@en	
<http://purl.obolibrary.org/obo/AISM_0004128>	"The dorsal region of the cuticle of the insect thorax that is attached to the dorsal margin of the pleuron."@en	
<http://purl.obolibrary.org/obo/COLAO_0000059>	"The epipharyngeal sclerite on the posterior region of the epipharynx."@en	
<http://purl.obolibrary.org/obo/AISM_0004149>	"The region of cuticle of the dorso-lateral region of the pterothorax that is surrounded by the noto-pleural conjunctiva and articulated with the episternum."@en	
<http://purl.obolibrary.org/obo/AISM_0000194>	"The tentorial pit that correspods to the anterior (dorsal in prognathous head) end of the tentorium."	
<http://purl.obolibrary.org/obo/AISM_0004012>	"The conjunctiva of the insect maxilla that connects the palpifer and the maxillary palpus."@en	
<http://purl.obolibrary.org/obo/AISM_0000065>	"The cuticle of the segment of the hind leg that is attached to the latero-ventral region of the metathorax by the basal metacoxal conjunctiva and to the metatrochanter by the metacoxal-metatrochanteral conjunctiva."@en	
<http://purl.obolibrary.org/obo/UBERON_0000047>	"An eye with one concave chamber. Note that 'simple' does not imply a reduced level of complexity or acuity."	"Wikipedia:Eye#Simple_eyes TGMA:0000729 http://en.wikipedia.org/wiki/Eye#Simple_eyes"
<http://purl.obolibrary.org/obo/AISM_0000149>	"The somatic muscle that inserts in the pretarsus."@en	
<http://purl.obolibrary.org/obo/COLAO_0000074>	"The bilaterally paired sclerites composing the ventral region of the hypopharyngeal suspensorium."@en	
<http://purl.obolibrary.org/obo/AISM_0004002>	"The conjunctiva of the labium that connects the mentum and the prementum."@en	
<http://purl.obolibrary.org/obo/AISM_0004269>	"The region of the cuticle that is distal and medial on the cuticle of the insect mandible."@en	
<http://purl.obolibrary.org/obo/COLAO_0000210>	"The elytral stria that is lateral to the elytral interstria 5."@en	
<http://purl.obolibrary.org/obo/AISM_0002037>	"The cuticle of the maxillary palpomere that is attached to the distal margin of the palpiger and to the proximal margin of the maxillary palpomere II."@en	
<http://purl.obolibrary.org/obo/AISM_0002012>	"The apodeme at either side of the proximal margin of the labrum."@en	
<http://purl.obolibrary.org/obo/COLAO_0000146>	"The cuticular ridge on the ventral region of the head capsule that is lateral to the cranio-mandibular articulation."@en	
<http://purl.obolibrary.org/obo/AISM_0002063>	"The insect cranio-antennal muscle that is attached to the tentorial bridge and the tentorium."@en	
<http://purl.obolibrary.org/obo/AISM_0004212>	"The insect thoracic muscle that extends between the notum (or tergum) and the trochanter."@en	
<http://purl.obolibrary.org/obo/AISM_0004016>	"The conjunctiva of the labium that connects the prementum and the glossa."@en	
<http://purl.obolibrary.org/obo/AISM_0004182>	"The conjunctiva that encircles the tarsus by joining the distal margin of the tibia and the proximal margin of the tarsus."@en	
<http://purl.obolibrary.org/obo/COLAO_0000054>	"The cuticular seta on the dorsal region of the cuticle of the labrum."@en	
<http://purl.obolibrary.org/obo/AISM_0000110>	"The conjunctiva of the insect maxilla that connects the cardo and the stipes."@en	
<http://purl.obolibrary.org/obo/AISM_0004056>	"The region of cuticle of the insect abdomen that is anteriorly connected to the preabdomen."@en	
<http://purl.obolibrary.org/obo/AISM_0000104>	"The conjunctiva that encircles the metacoxa and connects it to the ventral and lateral regions of the metathorax."@en	
<http://purl.obolibrary.org/obo/AISM_0004221>	"The noto-pleural conjunctiva that joins the metanotum and the metapleuron."@en	
<http://purl.obolibrary.org/obo/AISM_0004188>	"The cuticle of the segment of the leg that is composed of metatarsomeres connected to each other by intertarsomeral conjunctiva. The first metatarsomere is connected to the distal margin of the metatibia by the metatibio-metatarsal conjunctiva and the last metatarsomere is connected to the proximal margin of the metapretarsus by the metatarso-metapretarsal conjunctiva."@en	
<http://purl.obolibrary.org/obo/COLAO_0000030>	"The concave region of abdominal sternites II and III that receive the metacoxa."@en	
<http://purl.obolibrary.org/obo/COLAO_0000051>	"The cuticular carina that is parallel to the medial margin of the eye"@en	
<http://purl.obolibrary.org/obo/PATO_0001543>	"A physical quality inhering in a bearer by virtue of the bearer's disposition to being turned, bowed, or twisted without breaking."	
<http://purl.obolibrary.org/obo/AISM_0000120>	"The conjunctiva of the prothorax that joins the propleuron and the procoxa."@en	
<http://purl.obolibrary.org/obo/PATO_0002219>	"A quality inhering in a bearer that is shaped in the form of a fan."	
<http://purl.obolibrary.org/obo/AISM_0002055>	"The cranio-labial muscle that is attached to the prementum and the paraglossa."@en	
<http://purl.obolibrary.org/obo/COLAO_0000200>	"The apodeme that is bilaterally paired and adjacent to the internal side of the anterior region of the pronotum and adjacent to the internal side of the antero-lateral region of the pronotum."@en	
<http://purl.obolibrary.org/obo/COLAO_0000069>	"The cuticular seta on the dorsal region of the cuticle of the lacinia."@en	
<http://purl.obolibrary.org/obo/AISM_0000127>	"The cuticular evagination that corresponds to the evagination on the membrane of a single cell and not to the evagination of a cell layer."	
<http://purl.obolibrary.org/obo/AISM_0000147>	"The somatic muscle that inserts in the femur."@en	
<http://purl.obolibrary.org/obo/AISM_0002033>	"The insect cranio-maxillar muscle that is attached to the stipes and the lacinia."@en	
<http://purl.obolibrary.org/obo/AISM_0004094>	"The conjunctiva of the insect abdomen that connects the abdominal tergite V and the abdominal tergite VI."@en	
<http://purl.obolibrary.org/obo/AISM_0000045>	"The conjunctiva of the insect thorax that connects the mesothorax and the metathorax."@en	
<http://purl.obolibrary.org/obo/AISM_0000166>	"The insect articulation between the propleuron and the procoxa."@en	
<http://purl.obolibrary.org/obo/AISM_0002006>	"The cranio-antennal muscle that is attached to the frons and the pedicellus."@en	
<http://purl.obolibrary.org/obo/COLAO_0000247>	"The thickened region of the cuticle of the endophallus that has cuticular spines."@en	
<http://purl.obolibrary.org/obo/AISM_0004238>	"The ectodermal gland that is composed of multiple cells."@en	
<http://purl.obolibrary.org/obo/AISM_0002064>	"The somatic muscle that is part of the insect leg."@en	
<http://purl.obolibrary.org/obo/COLAO_0000071>	"The cuticular seta on the ventral region of the cuticle of the paraglossa."@en	
<http://purl.obolibrary.org/obo/AISM_0004184>	"The conjunctiva that encircles the mesotarsus by joining the distal margin of the mesotibia and the proximal margin of the mesotarsus."@en	
<http://purl.obolibrary.org/obo/AISM_0000140>	"The coiled ridge in the wall of the trachea."@en	
<http://purl.obolibrary.org/obo/PATO_0000001>	"A dependent entity that inheres in a bearer by virtue of how the bearer is related to other entities [database_cross_reference: PATOC:GVG]"@en	
<http://purl.obolibrary.org/obo/COLAO_0000240>	"The accessory endophallite that is elongated and lateral to the subaxial and frontolateral peripheral endophallites."@en	
<http://purl.obolibrary.org/obo/AISM_0000070>	"The cuticle of the segment of a fore leg attached to the distal margin of the protrochanter by the protrochantero-profemoral conjunctiva and to the proximal margin of the protibia by the profemoro-protibial conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0002060>	"The cranio-hypopharyngeal muscle that is attached to the anterior tentorial arm and the suspensorium."@en	
<http://purl.obolibrary.org/obo/AISM_0004172>	"The cuticle of the segment of a mid leg attached to the distal margin of the mesocoxa by the mesocoxal-mesotrochanteral conjunctiva and to the proximal margin of the mesofemur by the mesotrochantero-mesofemoral conjunctiva."@en	
<http://purl.obolibrary.org/obo/BSPO_0000029>	"Anatomical region that overlaps the anterior and lateral regions of a body or body part."	
<http://purl.obolibrary.org/obo/AISM_0000087>	"The cuticle of the mouthpart appendage composed of the cuticle of submentum, which is attached by the submental-mental conjunctiva to the cuticle of mentum, which is attached by the mental-premental conjunctiva to the cuticle of prementum, which is attached to the cuticle of palpiger by the premental-palpigeral conjunctiva, the cuticle of paraglossa by the premental-paraglossal conjunctiva, and the cuticle of glossa by the premental-glossal conjunctiva; the cuticle of palpiger is attached by the palpigero-palpal conjunctiva to the cuticle of labial palpus."@en	
<http://purl.obolibrary.org/obo/AISM_0004037>	"The apophysis of the tentorium that originates from each posterior tentorial pit."@en	
<http://purl.obolibrary.org/obo/AISM_0000198>	"The arthropod foramen of the head capsule that contains the antennifer and surrounds the scapus via the antenniferal-scapal conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0004008>	"Is the conjunctiva of the antenna that connects a flagellomere and other flagellomere."@en	
<http://purl.obolibrary.org/obo/COLAO_0000142>	"The sclerite that is part of the insect abdomen, part of the medial region and the ventral region and is exposed."@en	
<http://purl.obolibrary.org/obo/AISM_0002049>	"The phragma that is continuous with the postocciput."@en	
<http://purl.obolibrary.org/obo/AISM_0002028>	"The insect cranio-maxillar muscle that is attached to the gena and the lacinia."@en	
<http://purl.obolibrary.org/obo/AISM_0004198>	"The region of the cuticle of the postabdomen that is paired and connected to the anterior region of the gonocoxa IX."@en	
<http://purl.obolibrary.org/obo/AISM_0004147>	"The sclerite that is on the lateral region of the notum and is adjacent to the wing."@en	
<http://purl.obolibrary.org/obo/BSPO_0000377>	"Anatomical surface that is located on the proximal side of the body or body part."	"FBql:00005852"
<http://purl.obolibrary.org/obo/AISM_0004057>	"The sclerite of the insect abdomen that is dorsal and medial."@en	
<http://purl.obolibrary.org/obo/AISM_0000053>	"The sclerite that is continuous with the basal mesocoxal conjunctiva and the basal wing conjunctiva and contains the mesofurca."@en	
<http://purl.obolibrary.org/obo/AISM_0004290>	"The insect abdominal segment that is posterior to the insect abdominal segment II and composed of abdominal tergite III and abdominal sternite III."@en	"http://flybase.org/cgi-bin/cvreport.pl?cvterm=FBbt:00000024"
<http://purl.obolibrary.org/obo/AISM_0000000>	"The projection of the inner surface of the cuticle."@en	
<http://purl.obolibrary.org/obo/AISM_0004033>	"The lateral region of the head capsule that is adjacent to the foramen occipitale"@en	
<http://purl.obolibrary.org/obo/CL_0000362>	"An epithelial cell of the integument (the outer layer of an organism)."	"FMA:62411 MESH:D000078404 CALOHA:TS-0283 BTO:0001470"
<http://purl.obolibrary.org/obo/AISM_0004248>	"The anterior region of the insect wing."@en	
<http://purl.obolibrary.org/obo/AISM_0004190>	"The cuticle of the segment of the leg that is composed of protarsomeres connected to each other by intertarsomeral conjunctiva. The first protarsomere is connected to the distal margin of the protibia by the protibio-protarsal conjunctiva and the last protarsomere is connected to the proximal margin of the propretarsus by the protarso-propretarsal conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0004060>	"The sclerite of the postabdomen that is attached to the posterior margin of the abdominal tergite X by the abdominal tergite X-epiproct conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0004216>	"The insect thoracic muscle that extends between two furcae."@en	
<http://purl.obolibrary.org/obo/PATO_0000040>	"A quality that is the extent of space between two entities. [database_cross_reference: PATOC:GVG]"	
<http://purl.obolibrary.org/obo/AISM_0004133>	"The sclerite of the insect thorax that is part of the pleuron and anterior to the pleural ridge and attached to the anterior margin of the epimeron."@en	
<http://purl.obolibrary.org/obo/AISM_0004252>	"The insect wing vein that is posterior to some radius and anterior to some cubitus."@en	
<http://purl.obolibrary.org/obo/AISM_0000098>	"The conjuctiva that is continuous with the posterior margin of the head capsule and with the anterior margin of the prothorax, and bears cervical sclerites."@en	
<http://purl.obolibrary.org/obo/COLAO_0000011>	"The region of the cuticle on the posterior region of the mesoscutellum."@en	
<http://purl.obolibrary.org/obo/AISM_0004112>	"The conjunctiva of the insect abdomen that connects the abdominal sternite III and the abdominal sternite IV."@en	
<http://purl.obolibrary.org/obo/AISM_0004099>	"The sclerite of the insect thorax or the insect abdomen that is on the lateral region of the notum."@en	
<http://purl.obolibrary.org/obo/AISM_0004278>	"The thoracic foramen that is at the posterior margin of the cuticle of the prothorax."@en	
<http://purl.obolibrary.org/obo/BSPO_0000017>		
<http://purl.obolibrary.org/obo/COLAO_0000239>	"The endophallite that is located in the medial region of the endophallus."@en	
<http://purl.obolibrary.org/obo/COLAO_0000034>	"The concave region of the cuticle on the lateral or ventral region of the head capsule that is adjacent to the antennal foramen."@en	
<http://purl.obolibrary.org/obo/COLAO_0000205>	"The elytral interstria that is lateral to the elytral stria 2."@en	
<http://purl.obolibrary.org/obo/AISM_0002047>	"The cranio-labial muscle that is attached to the postoccipital phragma and  the glossa."@en	
<http://purl.obolibrary.org/obo/AISM_0004085>	"Is the abdominal tergite of the preabdomen that is attached to the posterior margin of the abdominal tergite I by the abdominal tergite I-abdominal tergite II conjunctiva and to the anterior margin of the abdominal tergite III by the abdominal tergite II-abdominal tergite III conjunctiva."@en	
<http://purl.obolibrary.org/obo/COLAO_0000139>	"The posterior branch of the anal wing vein that is posterior to the anal posterior branch 3 (AP3) of the beetle wing."@en	
<http://purl.obolibrary.org/obo/AISM_0004225>	"The phragma of the metanotum that attaches to muscles attached to the mesonotum."@en	
<http://purl.obolibrary.org/obo/AISM_0004209>	"The insect thoracic muscle that extends between the pronotum and the mesonotum."@en	
<http://purl.obolibrary.org/obo/AISM_0004210>	"The insect thoracic muscle that extends between the mesonotum and the metanotum."@en	
<http://purl.obolibrary.org/obo/AISM_0002019>	"The hypopharyngeal sclerite on the proximal region of the hypopharynx."@en	
<http://purl.obolibrary.org/obo/BSPO_0000679>	"Anatomical margin that is located on the dorsal side of body or body part."	
<http://purl.obolibrary.org/obo/AISM_0004158>	"The region of cuticle on the postero-ventral region of the episternum that is posterior to the anapleural sulcus."@en	
<http://purl.obolibrary.org/obo/COLAO_0000036>	"The subantennal groove on the rostrum that is posterior to the antennal foramen."@en	
<http://purl.obolibrary.org/obo/AISM_0000037>	"The cuticle of the paired insect wing that is continuous with the mesonotum."@en	
<http://purl.obolibrary.org/obo/AISM_0000526>	"The cuticular protrusion of a sclerite that is rounded (circular)."@en	
<http://purl.obolibrary.org/obo/AISM_0002078>	"The dorsoventral thoracic muscle of the prothorax that is attached to the anterior margin of a cervical sclerite and the dorso-lateral region of the postocciput."@en	
<http://purl.obolibrary.org/obo/COLAO_0000137>	"The posterior branch of the anal vein that is composed of the first and second anal posterior branches of the beetle wing."@en	
<http://purl.obolibrary.org/obo/AISM_0000048>	"The cuticle of the appendage of the cuticle of labium composed of the cuticle of glossa and cuticle of paraglossa jointly."@en	
<http://purl.obolibrary.org/obo/COLAO_0000136>	"The insect wing vein composed of the medial bar, the radial posterior branch 3+4, and the radial-medial cross vein."@en	
<http://purl.obolibrary.org/obo/AISM_0000101>	"The conjunctiva that is attached to the pronotum and the mesopectus."@en	
<http://purl.obolibrary.org/obo/BSPO_0000378>	"Anatomical surface that is located on the distal side of the body or body part."	"FBql:00005853"
<http://purl.obolibrary.org/obo/COLAO_0000243>	"The accessory endophallite that is elongated and lateral to the axial and subaxial endophallites."@en	
<http://purl.obolibrary.org/obo/AISM_0000016>	"The articulation between the scapus and the cranium."	
<http://purl.obolibrary.org/obo/AISM_0004127>	"The region of the cuticle of the pterothorax that bears the hind legs and the hind wings."@en	
<http://purl.obolibrary.org/obo/AISM_0004148>	"The sclerite of the pterothorax that is attached to some muscle."@en	
<http://purl.obolibrary.org/obo/COLAO_0000035>	"The region of cuticle of the insect head that is proximal to the mouthparts and composed of frons and clypeus."@en	
<http://purl.obolibrary.org/obo/AISM_0004026>	"The lateral region of the head capsule, connected dorsally to the sides of the vertex."@en	
<http://purl.obolibrary.org/obo/AISM_0004116>	"The conjunctiva of the insect abdomen that connects the abdominal sternite VII and the abdominal sternite VIII."@en	
<http://purl.obolibrary.org/obo/AISM_0004036>	"Each ridge on the ventral region of the head capsule marking the sides of the gula."@en	
<http://purl.obolibrary.org/obo/AISM_0002029>	"The insect cranio-maxillar muscle that is attached to the tentorium and the cardo."@en	
<http://purl.obolibrary.org/obo/COLAO_0000007>	"The sulcus separating the lateral region of the notum and the lateral region of the sternum."@en	
<http://purl.obolibrary.org/obo/AISM_0004249>	"The insect wing vein that is posterior to the media and anterior to the postcubitus."@en	
<http://purl.obolibrary.org/obo/COLAO_0000012>	"The medial margin of the elytron."@en	
<http://purl.obolibrary.org/obo/AISM_0000118>	"The conjunctiva of the antenna that connects the pedicellus and the first flagellomere."@en	
<http://purl.obolibrary.org/obo/COLAO_0000047>	"The cranio-mandibular articulation of the head capsule on the ventral region of the clypealia"@en	
<http://purl.obolibrary.org/obo/AISM_0004250>	"The insect wing region that is posterior to the jugal fold."@en	
<http://purl.obolibrary.org/obo/UBERON_0000046>	"Eye-spots which may be set into a pit to reduce the angles of light that enters and affects the eyespot, to allow the organism to deduce the angle of incoming light."	"http://en.wikipedia.org/wiki/Stemma"
<http://purl.obolibrary.org/obo/BSPO_0000077>	"Anatomical region proximally located on the body or body part."	"FBql:00005852"
<http://purl.obolibrary.org/obo/AISM_0000020>	"The axillary sclerite that is on the dorsal region of the basal wing conjunctiva and lateral to the first axillary sclerite."@en	
<http://purl.obolibrary.org/obo/COLAO_0000144>	"The cuticle of the mouthpart that is composed of the maxilla and the labium."@en	
<http://purl.obolibrary.org/obo/AISM_0004141>	"The sclerite that is surrounded by the neck membrane."@en	
<http://purl.obolibrary.org/obo/BSPO_0000013>	"An axis that extends through an organism from head end to opposite end of body or tail."	
<http://purl.obolibrary.org/obo/COLAO_0000214>	"The elytral stria that is lateral to the elytral interstria 7."@en	
<http://purl.obolibrary.org/obo/AISM_0000073>	"The ring sclerite that is part of an appendage and is not attached to somatic muscle."@en	
<http://purl.obolibrary.org/obo/AISM_0004257>	"The insect wing vein that is posterior to the costa and anterior to the radius."@en	
<http://purl.obolibrary.org/obo/AISM_0004297>	"The insect abdominal segment that is posterior to the insect abdominal segment IX and composed of abdominal tergite X and abdominal sternite X."@en	"http://flybase.org/cgi-bin/cvreport.pl?cvterm=FBbt:00000031"
<http://purl.obolibrary.org/obo/COLAO_0000064>	"The apodeme adjacent to the proximo-medial region of the cuticle of the insect mandible."@en	
<http://purl.obolibrary.org/obo/AISM_0004207>	"The tergo-trochantinal muscle that is attached to the metanotum and the metatrochantin."@en	
<http://purl.obolibrary.org/obo/AISM_0004160>	"The region of cuticle on the ventral region of the epimeron."@en	
<http://purl.obolibrary.org/obo/AISM_0004155>	"The region of cuticle on the antero-ventral region of the episternum that is anterior to the anapleural sulcus."@en	
<http://purl.obolibrary.org/obo/AISM_0002002>	"The cranio-antennal muscle that is attached to the dorsal tentorial arm and the proximal margin of the scapus."@en	
<http://purl.obolibrary.org/obo/COLAO_0000248>	"The cuticular sulcus at the posterior margin of the mesoventrite and the anterior margin of the metaventrite."@en	
<http://purl.obolibrary.org/obo/AISM_0002036>	"The cuticle of the mere that is part of the maxillary palpus."@en	
<http://purl.obolibrary.org/obo/AISM_0002045>	"The insect cranio-maxillar muscle that is attached to the fourth maxillar palpomere and  the fifth maxillar palpomere."@en	
<http://purl.obolibrary.org/obo/PATO_0002539>	"A shape quality inhering in a bearer by virtue of the bearer's having a shape like a ring (a circular shape enclosing a space)."	
<http://purl.obolibrary.org/obo/COLAO_0000078>	"The proximal region of the cuticle of the galea that is adjacent to the distal margin of the mediostipes."@en	
<http://purl.obolibrary.org/obo/AISM_0004087>	"Is the abdominal tergite of the preabdomen that is attached to the posterior margin of the abdominal tergite II by the abdominal tergite II-abdominal tergite III conjunctiva and to the anterior margin of the abdominal tergite IV by the abdominal tergite III-abdominal tergite IV conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0000172>	"The conjunctiva is encircled by a tarsomere that encircles another tarsomere."@en	
<http://purl.obolibrary.org/obo/AISM_0000089>	"The resilin rich region that connects two sclerites."@en	
<http://purl.obolibrary.org/obo/COLAO_0000057>	"The sclerite of the epipharynx."@en	
<http://purl.obolibrary.org/obo/COLAO_0000133>	"The anterior branch of the anal wing vein that is posterior to the anal anterior branch 3 (AA3) of the beetle wing."@en	
<http://purl.obolibrary.org/obo/AISM_0004076>	"The region of the cuticle of the postabdomen that is paired and connected to the anterior region of the gonocoxa VIII."@en	
<http://purl.obolibrary.org/obo/COLAO_0000201>	"The elytral interstria that is lateral to the sutural margin."@en	
<http://purl.obolibrary.org/obo/COLAO_0000223>	"The elytral interstria that is lateral to the elytral stria 11."@en	
<http://purl.obolibrary.org/obo/AISM_0004223>	"The axillary sclerite that is connected via muscle to the mesopleuron and is  posterior to the first axillary sclerite."@en	
<http://purl.obolibrary.org/obo/AISM_0000192>	"The insect cranial muscle that is attached to the tentorium and to the antenna."@en	
<http://purl.obolibrary.org/obo/AISM_0004121>	"The conjunctiva of the insect abdomen that connects the abdominal tergite VIII and the abdominal tergite IX."@en	
<http://purl.obolibrary.org/obo/PATO_0002228>	"A tapered shape quality inhering in a bearer by virtue of the bearer's tapering gradually to a sharp point."	
<http://purl.obolibrary.org/obo/AISM_0004272>	"The region of cuticle on the lateral region of the cuticle of stipes, adjacent to the distal margin of the cuticle of the cardo, to the proximal margin of the cuticle of the palpifer, and adjacent to the proximal margin of the mediostipes."@en	
<http://purl.obolibrary.org/obo/AISM_0004152>	"The epipleurite that is adjacent to the anepisternum, is attached to the pleuron via muscle, is surrounded by the noto-pleural conjunctiva, and is anterior to the first axillary sclerite."@en	
<http://purl.obolibrary.org/obo/AISM_0000034>	"The cuticle of the paired appendage of the prothorax that is anterior to the cuticle of a mid leg and composed of cuticle of procoxa, cuticle of protrochanter, cuticle of profemur, cuticle of protibia, cuticle of protarsus, and cuticle of propretarsus."@en	
<http://purl.obolibrary.org/obo/BSPO_0000684>	"Anatomical margin that is located on the ventral side of the body or body part."	
<http://purl.obolibrary.org/obo/AISM_0000115>	"The cuticle of the segment of the antenna that is attached to the scapus by the scapal-pedicellar conjunctiva and to the first flagellomere by the pedicel-first flagellomere conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0000162>	"The cuticular depression (concavity on cuticle surface) that corresponds with a cuticular ridge (an elongate cuticular invagination)."	
<http://purl.obolibrary.org/obo/AISM_0004200>	"The conjunctiva of the postabdomen that joins the parameres and the aedeagus."@en	
<http://purl.obolibrary.org/obo/COLAO_0000022>	"The anepisternum on the anterior region of the metapleuron and lateral to the metaventrite."@en	
<http://purl.obolibrary.org/obo/AISM_0004265>	"The cuticular sulcus that is adjacent to the subgena and coincides with the subgenal ridge."@en	
<http://purl.obolibrary.org/obo/AISM_0004237>	"The cuticular evagination that is largely membranous."@en	
<http://purl.obolibrary.org/obo/AISM_0004097>	"Is the abdominal tergite of the postabdomen that is attached to the posterior margin of the abdominal tergite VII by the abdominal tergite VII-abdominal tergite VIII conjunctiva and to the anterior margin of the abdominal tergite IX by the abdominal tergite VIII-abdominal tergite IX conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0004066>	"The region of cuticle of the endophallus that is thicker."@en	
<http://purl.obolibrary.org/obo/AISM_0000008>	"The region of the cuticle that corresponds to a convex surface."@en	
<http://purl.obolibrary.org/obo/COLAO_0000008>	"The part of the prosternum that is medial to the procoxae."@en	
<http://purl.obolibrary.org/obo/AISM_0000083>	"The somatic muscle that is attached to the head capsule and the labium."@en	
<http://purl.obolibrary.org/obo/COLAO_0000222>	"The elytral stria that is lateral to the elytral interstria 11."@en	
<http://purl.obolibrary.org/obo/AISM_0004163>	"The sclerite attached to the spinasternum."@en	
<http://purl.obolibrary.org/obo/AISM_0004040>	"The arthropod foramen that is part of the foramen occipitale and is located above the tentorial bridge."@en	
<http://purl.obolibrary.org/obo/AISM_0004093>	"Is the abdominal tergite of the preabdomen that is attached to the posterior margin of the abdominal tergite V by the abdominal tergite V-abdominal tergite VI conjunctiva and to the anterior margin of the abdominal tergite VII by the abdominal tergite VI-abdominal tergite VII conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0000130>	"The seta that has one opening distally."@en	
<http://purl.obolibrary.org/obo/AISM_0004005>	"The sclerite of the labium that is anteriorly attached to the mentum by the submental-mental conjunctiva."@en	
<http://purl.obolibrary.org/obo/CARO_0000008>	"A one dimensional, immaterial anatomical entity."	
<http://purl.obolibrary.org/obo/AISM_0004004>	"The sclerite of the labium that is anterior to the submentum and posterior to the prementum, and attached to the prementum by the mental-premental conjunctiva."@en	
<http://purl.obolibrary.org/obo/COLAO_0000204>	"The elytral stria that is lateral to the elytral interstria 2."@en	
<http://purl.obolibrary.org/obo/AISM_0004027>	"The lateral region of the head capsule that connects dorsally to the ventral side of the gena and ventrally to the mandible."@en	
<http://purl.obolibrary.org/obo/AISM_0004166>	"The region of cuticle of the insect thorax that contains the mesothorax and the metathorax and bears the mid legs, the hind legs and the wings."@en	
<http://purl.obolibrary.org/obo/COLAO_0000016>	"A puncture on an elytron."@en	
<http://purl.obolibrary.org/obo/COLAO_0000208>	"The elytral stria that is lateral to the elytral interstria 4."@en	
<http://purl.obolibrary.org/obo/UBERON_0014895>	"A muscle structure of invertebrates whose origin and insertion sites are in basal side of the epidermis or structures derived from it. The simplest somatic muscles consist of a single cell and associated extracellular structures."	"HAO:0001922"
<http://purl.obolibrary.org/obo/AISM_0004079>	"The region of the cuticle that is part of the oviduct and attached to the spermatheca."@en	
<http://purl.obolibrary.org/obo/COLAO_0000017>	"The groove on an elytron that is longitidinal (parallel to the anterior-posterior axis)."@en	
<http://purl.obolibrary.org/obo/COLAO_0000042>	"The apodeme on the anterior margin of the tegmen."@en	
<http://purl.obolibrary.org/obo/AISM_0000135>	"The region of the cuticle that is continuous to the proximal region of a trachea and can be closed by muscles."@en	
<http://purl.obolibrary.org/obo/COLAO_0000120>	"The insect wing vein that is adjacent to another insect wing vein."@en	
<http://purl.obolibrary.org/obo/AISM_0000193>	"The cuticular depression that corresponds to an apophysis."	
<http://purl.obolibrary.org/obo/AISM_0004103>	"The conjunctiva of the insect abdomen that connects the abdominal sternite I and the abdominal sternite II."@en	
<http://purl.obolibrary.org/obo/COLAO_0000140>	"The posterior branch of the anal wing vein that is composed of the anal posterior branch 3 (AP3) and the anal posterior branch 4 (AP4) of the beetle wing."@en	
<http://purl.obolibrary.org/obo/COLAO_0000121>	"The cross-vein of the beetle wing that is proximal to the radial cell of the beetle wing."@en	
<http://purl.obolibrary.org/obo/COLAO_0000251>	"The cuticular depression in the anterior region of the hypomeron that is anterior to the anterior hypomeral carina."@en	
<http://purl.obolibrary.org/obo/COLAO_0000076>	"The hypopharyngeal sclerite on the antero-medial region of the hypopharynx."@en	
<http://purl.obolibrary.org/obo/AISM_0000126>	"The conjunctiva that corresponds to one epithelial cell and surrounds a sclerotized unicellular cuticular evagination."@en	
<http://purl.obolibrary.org/obo/COLAO_0000147>	"The cuticular protrusion that is lateral to an abdominal tergite."@en	
<http://purl.obolibrary.org/obo/AISM_0004173>	"The cuticle of the segment of a hind leg attached to the distal margin of the metacoxa by the metacoxal-metatrochanteral conjunctiva and to the proximal margin of the metafemur by the metatrochantero-metafemoral conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0004295>	"The insect abdominal segment that is posterior to the insect abdominal segment VII and composed of abdominal tergite VIII and abdominal sternite VIII."@en	"http://flybase.org/cgi-bin/cvreport.pl?cvterm=FBbt:00000029"
<http://purl.obolibrary.org/obo/AISM_0004017>	"The conjunctiva of the labium that connects the palpiger and the labial palpus."@en	
<http://purl.obolibrary.org/obo/AISM_0004264>	"The region of cuticle that is posterior to the cuticle of the labrum."@en	
<http://purl.obolibrary.org/obo/COLAO_0000062>	"The insect articulation on the ventro-lateral region of the cuticle of the insect mandible."@en	
<http://purl.obolibrary.org/obo/AISM_0002011>	"The cranio-labral muscle that is attached to the frons and the tormae."@en	
